,Year,Month,Event date and time,Restoration date and time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 12
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
,,,,,,Western Area Power Administration - Upper Great,,South Dakota: Davison,reclosing).-Transmission,,,
2022,5,05/12/2022 4:50 PM,05/13/2022 2:48 AM,,"9 Hours, 58 Minutes",Plains Region - (NCR01036),MRO,County;,,Interruption,Unknown,Unknown
,,,,,,,,"Texas: Collin County, Dallas",,,,
,,,,,,,,"County, Denton County, Ellis",,,,
,,,,,,,,"County, Grayson County,",,,,
,,,,,,,,"Henderson County, Hunt",,,,
,,,,,,,,"County, Kaufman County,",,,,
,,,,,,,,"Navarro County, Rockwall",Loss of electric service to more,,,
,,,,,,,,"County, Smith County, Tarrant","than 50,000 customers for 1",,,
2022,5,05/15/2022 11:30 PM,05/17/2022 11:45 PM,"48 Hours, 15 Minutes",,Oncor Electric Delivery Company LLC,TRE,"County, Van Zandt County;",hour or more-Severe Weather,Unknown,,150000
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
,,,,,,,,New Mexico: Roosevelt,reclosing).-Transmission,,,
2022,5,05/17/2022 12:10 PM,.,.,". Hours, . Minutes",Southwestern Public Service,WECC,County;,,Interruption,25,Unknown
,,,,,,,,,Fuel supply emergencies that,,,
,,,,,,,,,could impact electric power,,,
,,,,,,,,New Mexico: San Juan,system adequacy or reliability-,,,
2022,5,05/18/2022 5:00 PM,05/31/2022 12:00 PM,"307 Hours, 0 Minutes",,Public Service Company of New Mexico,WECC,County;,Fuel Supply Deficiency,,560,0
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
,,,,,,,,,reclosing).-Transmission,,,
